file_path,line_or_symbol,assumption,evidence,classification,required_action,backward_compatibility,artifact_regeneration,scientific_results_change
src/benchmark/dso_vpp_export_side_axis_scan.jl,145-152,Axis validation permits only bus 13 or 30.,"axis_bus in (13,30); ternary assignments.",PILOT_SPECIFIC_AND_ACCEPTABLE,Do not expand historical scanner; implement generalized interface scans separately.,Historical behavior unchanged.,No regeneration.,No.
src/benchmark/dso_vpp_export_side_axis_scan.jl,470-472,Manifest text names exactly two Q commands and two axes.,"Q_VPP13, Q_VPP30, axes=P13_VPP;P30_VPP.",PILOT_SPECIFIC_AND_ACCEPTABLE,Preserve as truthful Phase-B metadata.,Freeze.,No regeneration.,No.
src/benchmark/dso_vpp_export_side_axis_scan.jl,767-830,Topology diagnostic loops and indexes buses 13 and 30.,Two literal loops and dictionaries.,PILOT_SPECIFIC_AND_ACCEPTABLE,Treat as two-axis diagnostic only.,Freeze.,No regeneration.,No.
scripts/run_dso_vpp_export_side_axis_scan.jl,112-114,Evaluation estimates multiply by exactly two axes.,intervals*2.,PILOT_SPECIFIC_AND_ACCEPTABLE,Use length(config.interfaces) in any new runner.,No change to Phase-B runner.,No regeneration.,No.
src/benchmark/dso_vpp_ac_anchored_linear_corner_audit.jl,105-123,Committed capacity parsing builds dictionaries for buses 13 and 30.,"Comprehensions use (13,30).",PILOT_SPECIFIC_AND_ACCEPTABLE,Keep provenance lock; do not generalize.,Required for committed SHA semantics.,Never regenerate Phase-B.,No.
src/benchmark/dso_vpp_ac_anchored_linear_corner_audit.jl,163-200,Envelope accepts exactly two coefficient vectors and constructs a 2x2 matrix.,"coefficients_13, coefficients_30; selected rows i13/i30.",PILOT_SPECIFIC_AND_ACCEPTABLE,Build an N-interface polyhedral representation separately.,Freeze analytical audit.,No regeneration.,No.
src/benchmark/dso_vpp_ac_anchored_linear_corner_audit.jl,217-235,"Intersection, residual, and margins use two command coordinates.",Two-element p_pu and residual; two contributions.,PILOT_SPECIFIC_AND_ACCEPTABLE,Use generic linear algebra for final coupled DOE.,Freeze.,No regeneration.,No.
src/benchmark/dso_vpp_ac_anchored_linear_corner_audit.jl,269-314,Angles and cross-axis inequalities are two-dimensional.,"atan(y,x) and two named inequalities.",PILOT_SPECIFIC_AND_ACCEPTABLE,Do not represent N-D geometry with a single angle.,Freeze.,No regeneration.,No.
src/benchmark/dso_vpp_ac_anchored_linear_corner_audit.jl,"427-439,448-515",Artifact filenames and summary fields split axis 13 and axis 30.,Separate ranking13/ranking30 and p13/p30 fields.,PILOT_SPECIFIC_AND_ACCEPTABLE,Keep historical artifact contract; version final artifacts.,Legacy readers remain.,No regeneration.,No.
test/test_dso_vpp_ac_map_stage0_physical_inputs.jl,266-350,"Fixtures assert bus-13-only, bus-30-only, and simultaneous two-command cases.",findall(delta)!=0 equals [13] or [30].,PILOT_SPECIFIC_AND_ACCEPTABLE,Retain; add separate N-interface tests later.,Tests remain stable.,No.,No.
test/test_dso_vpp_export_side_axis_scan.jl,"26-30,128-135",Tests split rows13/rows30 and assert inactive coordinate zero.,Two fixed row filters and topology checks.,PILOT_SPECIFIC_AND_ACCEPTABLE,Retain as Phase-B regression tests.,Stable.,No.,No.
test/test_dso_vpp_ac_anchored_linear_corner_audit.jl,121-190,"Expected rankings, intersection, and labels are bus-13/bus-30-specific.",Checks EXPOSED_LINEAR_CORNER_13_30 and two axis capacities.,PILOT_SPECIFIC_AND_ACCEPTABLE,Retain provenance tests; add new generic geometry tests separately.,Stable.,No.,No.
results/dso_vpp_ac_map_pilot/*.csv,legacy headers,Committed schemas encode p13/p30 or coefficient_13/coefficient_30.,"Headers in Stage-0, Phase-B, analytical, and provenance artifacts.",PILOT_SPECIFIC_AND_ACCEPTABLE,Never rewrite; new final artifacts need schema_version and long-form interface identifiers.,Legacy artifacts remain authoritative.,No existing regeneration.,No.
src/data/types.jl,97-101,DOE represents exactly one pcc_bus.,Single scalar bus plus import/export box vectors.,GENERALIZATION_REQUIRED_BEFORE_FINAL_TVPP,Supersede with multi-interface coupled/box envelope types.,Keep DOE as deprecated legacy fixture if tests need it.,Only new final artifacts.,Final scientific results will be newly computed.
